date,block,Raw_Frequency,MP_Schedule,MP_Drawal,MP_Demand,CZ_Total_Schedule,CZ_Demand,EZ_Total_Schedule,EZ_Demand,WZ_Total_Schedule,WZ_Demand,ATPS_Gen,SGTP_Gen,SGTS_Gen,SINGHAJI_Gen,Total_Thermal_Gen_Ex_Auxillary,Total_Hydel,Thermal_Hydel_Gen,UI_Rate,Total_IPP_Gen,Solar,Wind,CZ_Demand_Avg,EZ_Demand_Avg,WZ_Demand_Avg,MP_Demand_Avg,ISP_Hydro,OSP_Hydro,date_int
20251101,1,49.98799999999999,4881.8,4738.266666666666,7583.2,3226.4,2415.5333333333333,2853.2,2267.9333333333334,3272.6,2495.9333333333334,209.8,1230.7333333333333,1,394.73333333333335,1676.8,748.6666666666666,2425.3333333333335,3.0173333333333336,341.79066666666665,0,53.522666666666666,2435.97,2276.32,2470.29,7587.75,0.4806666666666667,265.72,20251101
20251101,2,49.928666666666665,4728.533333333334,4671.4,7499.733333333334,3224.133333333333,2396.6,2839.6,2246.266666666667,3274.866666666667,2432.4,209.66666666666666,1236.1333333333334,0.9333333333333333,377.1333333333333,1667.7333333333333,748.4,2416.266666666667,3.0526666666666666,338.04533333333336,0,50.268,2411.04,2267.58,2490.44,7571.9,0.52,265.72,20251101
20251101,3,49.92066666666666,4617.2,4680.4,7496.466666666666,3226.733333333333,2393.3333333333335,2813.8,2227.6666666666665,3274.133333333333,2437.4,210.73333333333332,1232.9333333333334,1,377.4,1666.4666666666667,745.6666666666666,2412.3333333333335,3.0420000000000003,341.9346666666667,0,44.604000000000006,2399,2247.72,2433.42,7502.6,0.49466666666666664,265.72,20251101
20251101,4,50.022666666666666,4614.666666666667,4700.066666666667,7499,3205.5333333333333,2378.4666666666667,2794.866666666667,2223.3333333333335,3270.866666666667,2444.4666666666667,210.66666666666666,1233.8666666666666,1,377.1333333333333,1666.8666666666666,746.2666666666667,2413.3333333333335,2.89,334.106,0,38.779333333333334,2394.67,2229.53,2433.67,7491.83,0.5,265.72,20251101
20251101,5,49.99,4521.666666666667,4530.933333333333,7402.933333333333,3169.5333333333333,2349.266666666667,2782.3333333333335,2208.9333333333334,3247.3333333333335,2416.4,210.33333333333334,1232.6,1,378.8,1665.6666666666667,828.4,2494.133333333333,2.8993333333333333,331.88933333333335,0,35.806000000000004,2377.93,2224.23,2440.5900000000006,7493.44,81.91266666666667,265.72,20251101
20251101,6,49.954,4449.666666666667,4457.4,7370.666666666667,3073.4666666666667,2322.6,2735.133333333333,2204.266666666667,3214.0666666666666,2394.266666666667,210,1227.9333333333334,1,377.8666666666667,1660.5333333333333,872.5333333333333,2533.0666666666666,2.7186666666666666,337.08133333333336,0,33.48133333333333,2343.25,2207.1599999999994,2418.05,7399.55,126.018,265.72,20251101
20251101,7,49.97666666666667,4437.533333333334,4401.866666666667,7303.066666666667,2979.866666666667,2288.4666666666667,2694.2,2183,3215.866666666667,2416.866666666667,209.53333333333333,1221.6666666666667,1,376.46666666666664,1654.5333333333333,871.4,2526.2,2.7,338.37666666666667,0,27.78666666666667,2321.5873333333334,2204.136,2395.2393333333334,7371.11,124.76866666666666,265.72,20251101
20251101,8,49.99,4469.666666666667,4324.6,7222.2,2946.866666666667,2238.5333333333333,2706.266666666667,2152.9333333333334,3228.2,2399.0666666666666,210.2,1222.2666666666667,0.9333333333333333,377.8,1654.6666666666667,871.0666666666667,2525.8,2.65,342.06666666666666,0,25.401999999999997,2284.78,2181.48,2418.06,7304.16,124.13066666666667,265.72,20251101
20251101,9,49.961999999999996,4593.333333333333,4348,7195.4,2914.6,2232,2701.133333333333,2159.866666666667,3259.0666666666666,2384.5333333333333,209.6,1175.4,0.9333333333333333,376.8,1611.1333333333334,868.6,2479.6,2.6060000000000003,338.1873333333333,0,26.159333333333333,2239.97,2154.15,2401.1,7226.21,125.59466666666667,265.72,20251101
20251101,10,49.95733333333333,4525.466666666666,4360.066666666667,7147,2909.6,2240.5333333333333,2682.4,2115.5333333333333,3284.2,2382.8,209.2,1109.0666666666666,1,377.8,1547.1333333333334,868.5333333333333,2415.6666666666665,2.6,338.53799999999995,0,32.007333333333335,2229.46,2158.77,2383.82,7191.63,125.71666666666667,265.72,20251101
20251101,11,49.96933333333333,4641.333333333333,4421.466666666666,7170.933333333333,2913.9333333333334,2266.0666666666666,2662.4,2109,3300.5333333333333,2366.733333333333,207.86666666666667,1065.6666666666667,0.9333333333333333,379.3333333333333,1506.0666666666666,867.2666666666667,2373.4,2.6060000000000003,338.4353333333333,0,33.91733333333333,2240.11,2118.36,2379.83,7145.26,124.63333333333334,265.72,20251101
20251101,12,49.96933333333333,4672.4,4434.333333333333,7154.466666666666,2917.0666666666666,2262,2661.266666666667,2127.866666666667,3283.133333333333,2364.6666666666665,208,1051.8666666666666,1,383.1333333333333,1493.2,846.6666666666666,2339.866666666667,2.5073333333333334,333.976,0,40.473333333333336,2262.28,2110.02,2368.83,7171.95,103.94866666666667,265.72,20251101
20251101,13,49.97933333333333,4618.933333333333,4572.733333333334,7190.6,2880.3333333333335,2260.733333333333,2616.6666666666665,2142.4666666666667,3266.4,2373.5333333333333,209.6,1047.4666666666667,1,381.8666666666667,1489.5333333333333,743.2666666666667,2233.0666666666666,2.5,334.834,0,43.10733333333334,2257.47,2128.81,2365.8400000000006,7156.46,0.4886666666666667,265.72,20251101
20251101,14,49.949333333333335,4654.2,4588.466666666666,7211.066666666667,2876.4,2278.2,2635.0666666666666,2139.866666666667,3249.733333333333,2373.3333333333335,210.13333333333333,1042.4,0.9333333333333333,377.3333333333333,1484.9333333333334,743.0666666666667,2227.8,2.5073333333333334,336.268,0,44.254,2259.57,2144.76,2375.21,7191.03,0.5006666666666667,265.72,20251101
20251101,15,49.956,4631.8,4564.933333333333,7183.933333333333,2887.4,2272.2,2630.6,2088.733333333333,3232.2,2422.4666666666667,211.13333333333333,1040.2666666666667,0.9333333333333333,376.6666666666667,1483.4666666666667,743.1333333333333,2226.6,2.5,339.9773333333333,0,38.54866666666667,2277.56,2138.63,2374.82,7211.61,0.502,265.72,20251101
20251101,16,49.97933333333334,4581.466666666666,4531.6,7130.466666666666,2874.0666666666666,2297.2,2611.0666666666666,2074.733333333333,3278.266666666667,2416.5333333333333,210.73333333333332,1030.6,1,378.26666666666665,1471.8,743.1333333333333,2215.0666666666666,2.7,336.61266666666666,0,32.806000000000004,2273.04,2092.25,2415.26,7179.77,0.5073333333333333,265.72,20251101
20251101,17,49.967999999999996,4638.666666666667,4610.066666666667,7208.133333333333,2926.4666666666667,2288.866666666667,2648.3333333333335,2079.266666666667,3332.5333333333333,2416.133333333333,210.13333333333333,1024.8,1,377.26666666666665,1465.3333333333333,747.6666666666666,2213.2,2.707333333333333,337.8786666666667,0,31.706,2296.12,2070.4,2417.46,7132.23,5.0520000000000005,265.72,20251101
20251101,18,49.94466666666666,4399.4,4539.333333333333,7290.333333333333,3049.3333333333335,2307.8,2744.2,2109.733333333333,3461.866666666667,2459,210.13333333333333,1048.7333333333333,1,379.06666666666666,1487,871.5333333333333,2358.6,2.7,340.5806666666667,0,36.37066666666667,2294.1599999999994,2078.53,2412.42,7208.680000000001,128.88466666666667,265.72,20251101
20251101,19,49.998666666666665,4289.6,4418.4,7402.866666666667,3125.9333333333334,2381.866666666667,2802.6,2115.6,3611.5333333333333,2526,210.26666666666668,1117.8,1,378.1333333333333,1551.8666666666666,1042.1333333333334,2593.866666666667,2.7060000000000004,341.00466666666665,0,34.11266666666667,2306.98,2110.6,2459.42,7290.89,295.19733333333335,262.6693333333333,20251101
20251101,20,49.99733333333334,4476.2,4407.133333333333,7583.066666666667,3179.4666666666667,2432.866666666667,2831.733333333333,2138.866666666667,3678.5333333333333,2595.4,210.2,1165.8666666666666,1,377.3333333333333,1598,1192.2666666666667,2790.3333333333335,2.99,338.3206666666667,0,29.206666666666667,2372.18,2117.44,2523.95,7402.11,447.71200000000005,260,20251101
20251101,21,49.97066666666667,4594.533333333334,4306.6,7770.066666666667,3303,2534.2,2873.8,2170.733333333333,3962.9333333333334,2691.133333333333,211.66666666666666,1209.8666666666666,1,397.2,1655.4666666666667,1403.0666666666666,3058.733333333333,2.99,351.34000000000003,0,29.420666666666666,2433.32,2141.48,2592.6599999999994,7584.22,664.3526666666668,260,20251101
20251101,22,49.992666666666665,4580.533333333334,4350.8,8071.733333333334,3467.8,2619.8,2954.733333333333,2221.6,4282.933333333333,2851,210.93333333333334,1225.1333333333334,1,447.3333333333333,1717.1333333333334,1540.4666666666667,3257.6666666666665,3.1006666666666667,406.8433333333333,0,29.586000000000002,2534.11,2167.1,2692.81,7769.27,801.5646666666667,260,20251101
20251101,23,50.010666666666665,4590.2,4503.733333333334,8397.6,3519.4,2722.266666666667,2963.733333333333,2257.6,4348.066666666667,2995.3333333333335,209.66666666666666,1230.8,1,505.8,1777.9333333333334,1604.6,3382.4666666666667,3.11,460.87666666666667,0,33.93666666666667,2617.36,2218.27,2848.77,8065.13,860.6346666666667,260,20251101
20251101,24,50.026666666666664,5001.666666666667,4831.2,8788,3573.6,2870.2,2929.5333333333333,2325.266666666667,4419,3202.4666666666667,211.6,1228.6666666666667,1,557.5333333333333,1828.2666666666667,1599.7333333333333,3428.0666666666666,3.29,474.2713333333333,1.572,35.792,2721.11,2258.68,2994.53,8396.67,853.356,260,20251101
20251101,25,50.019999999999996,5510.142857142857,5368,9311.285714285714,3614.1428571428573,3059.785714285714,2894.785714285714,2420.1428571428573,4455.071428571428,3386.5,209.42857142857142,1226.7857142857142,1,601.5714285714286,1869.7142857142858,1539.357142857143,3409.1428571428573,3.0085714285714285,477.4192857142857,2.62,30.75857142857143,2864.9,2323.45,3197.45,8784.6,824.5328571428572,260,20251101
20251101,26,50.04666666666667,5994.2,5838.333333333333,9837.466666666667,3706,3296.0666666666666,2843.133333333333,2511.866666666667,4467.066666666667,3613.0666666666666,209.8,1230,0.9333333333333333,626.7333333333333,1899.8666666666666,1565.6666666666667,3465.4666666666667,3.0466666666666664,474.53933333333333,3.8246666666666664,27.86733333333333,3058.4266666666667,2416.0553333333332,3380.038,9294.862666666666,871.6713333333333,260,20251101
20251101,27,50.053999999999995,6349.866666666667,6109.733333333334,10191.466666666667,3883.866666666667,3482.2,2863.5333333333333,2575.866666666667,4544.266666666666,3737.2,209.73333333333332,1224.2666666666667,1,626.4666666666667,1895.4666666666667,1639.0666666666666,3534.5333333333333,3.1213333333333333,476.30933333333337,12.8,29.894,3289.39,2511.5606666666663,3605.544,9825.603333333333,945.5120000000001,260,20251101
